window_start_time,window_end_time,vehicle_1,vehicle_2,vehicle_1_group,vehicle_2_group,vehicle_1_arrival_time_s,vehicle_2_arrival_time_s,arrival_time_difference_s,vehicle_1_arrival_step,vehicle_2_arrival_step,vehicle_1_min_distance_to_intersection_m,vehicle_2_min_distance_to_intersection_m,vehicle_1_real_arrival_time_s,vehicle_2_real_arrival_time_s,real_arrival_time_difference_s,vehicle_1_real_arrival_step,vehicle_2_real_arrival_step,vehicle_1_real_min_distance_to_intersection_m,vehicle_2_real_min_distance_to_intersection_m,arrival_risk_level
330.3,332.2,targeted_61,targeted_64,targeted,targeted,332.3,332.3,0.0,1.0,1.0,7.4884,8.5645,332.3,332.3,0.0,1.0,1.0,6.7755,9.1139,HIGH
330.5,332.4,targeted_61,targeted_64,targeted,targeted,332.5,332.5,0.0,1.0,1.0,7.5216,9.5604,332.5,,,1.0,,6.7755,10.1526,HIGH
511.3,513.2,targeted_95,targeted_98,targeted,targeted,513.3,513.3,0.0,1.0,1.0,7.6359,6.8937,513.3,513.4,0.1,1.0,2.0,7.5262,7.0348,HIGH
511.5,513.4,targeted_95,targeted_98,targeted,targeted,513.5,513.5,0.0,1.0,1.0,7.6359,6.2434,513.5,513.5,0.0,1.0,1.0,7.5262,7.0348,HIGH
511.7,513.6,targeted_95,targeted_98,targeted,targeted,513.7,513.7,0.0,1.0,1.0,7.6359,5.8822,513.7,513.7,0.0,1.0,1.0,7.5262,7.0348,HIGH
511.9,513.8,targeted_95,targeted_98,targeted,targeted,513.9,513.9,0.0,1.0,1.0,7.6359,5.6023,513.9,513.9,0.0,1.0,1.0,7.5262,7.0348,HIGH
512.1,514.0,targeted_95,targeted_98,targeted,targeted,514.1,514.1,0.0,1.0,1.0,7.6359,6.2903,514.1,514.1,0.0,1.0,1.0,7.5262,7.0348,HIGH
512.3,514.2,targeted_95,targeted_98,targeted,targeted,514.3,514.3,0.0,1.0,1.0,7.6359,5.9319,514.3,514.3,0.0,1.0,1.0,7.5262,7.0348,HIGH
512.5,514.4,targeted_95,targeted_98,targeted,targeted,514.5,514.5,0.0,1.0,1.0,7.6359,7.9585,514.5,514.5,0.0,1.0,1.0,7.5262,7.0348,HIGH
512.7,514.6,targeted_95,targeted_98,targeted,targeted,514.7,514.7,0.0,1.0,1.0,7.6359,8.1074,514.7,514.7,0.0,1.0,1.0,7.5262,7.1858,HIGH
512.9,514.8,targeted_95,targeted_98,targeted,targeted,514.9,514.9,0.0,1.0,1.0,7.6359,8.3901,514.9,514.9,0.0,1.0,1.0,7.5262,7.6444,HIGH
513.1,515.0,targeted_95,targeted_98,targeted,targeted,515.1,515.1,0.0,1.0,1.0,7.6359,8.7656,515.1,515.1,0.0,1.0,1.0,7.5262,8.1729,HIGH
513.3,515.2,targeted_95,targeted_98,targeted,targeted,515.3,515.3,0.0,1.0,1.0,7.6359,9.4765,515.3,515.3,0.0,1.0,1.0,7.5262,8.849,HIGH
2557.1,2559.0,targeted_507,targeted_509,targeted,targeted,2559.1,2559.1,0.0,1.0,1.0,4.5549,8.6508,2559.1,2559.3,0.2,1.0,3.0,4.4168,2.0185,HIGH
2557.3,2559.2,targeted_507,targeted_509,targeted,targeted,2559.3,2559.3,0.0,1.0,1.0,4.8913,7.1593,2559.3,2559.3,0.0,1.0,1.0,4.8511,2.0185,HIGH
2557.5,2559.4,targeted_507,targeted_509,targeted,targeted,2559.5,2559.5,0.0,1.0,1.0,5.2748,5.8026,2559.5,2559.5,0.0,1.0,1.0,5.3974,2.0185,HIGH
2557.7,2559.6,targeted_507,targeted_509,targeted,targeted,2559.7,2559.7,0.0,1.0,1.0,5.8102,3.8628,2559.7,2559.7,0.0,1.0,1.0,6.0017,2.0185,HIGH
2557.9,2559.8,targeted_507,targeted_509,targeted,targeted,2559.9,2559.9,0.0,1.0,1.0,6.437,3.1013,2559.9,2559.9,0.0,1.0,1.0,6.6891,2.0185,HIGH
2558.1,2560.0,targeted_507,targeted_509,targeted,targeted,2560.1,2560.1,0.0,1.0,1.0,7.1238,1.7795,2560.1,2560.1,0.0,1.0,1.0,7.4357,2.0185,HIGH
