protocol,alert_id,simulation_time,risk_level,vehicle_1,vehicle_2,sent_perf_time,sent_wall_time_utc,sent_wall_time_cest
mqtt,arrival:targeted_vehicle_004|targeted_vehicle_005:41.6:HIGH,41.6,HIGH,targeted_vehicle_004,targeted_vehicle_005,2285.3814275,2026-07-06T13:47:21.818312+00:00,15:47:21.818 CEST
mqtt,arrival:targeted_vehicle_006|targeted_vehicle_007:53.3:LOW,53.3,LOW,targeted_vehicle_006,targeted_vehicle_007,2297.081577666,2026-07-06T13:47:33.518241+00:00,15:47:33.518 CEST
mqtt,arrival:targeted_vehicle_006|targeted_vehicle_007:53.9:HIGH,53.9,HIGH,targeted_vehicle_006,targeted_vehicle_007,2297.738175,2026-07-06T13:47:34.174825+00:00,15:47:34.174 CEST
mqtt,arrival:targeted_vehicle_006|targeted_vehicle_008:54.0:HIGH,54.0,HIGH,targeted_vehicle_006,targeted_vehicle_008,2297.774931041,2026-07-06T13:47:34.211581+00:00,15:47:34.211 CEST
mqtt,arrival:targeted_vehicle_007|targeted_vehicle_008:54.0:LOW,54.0,LOW,targeted_vehicle_007,targeted_vehicle_008,2297.7750375,2026-07-06T13:47:34.211687+00:00,15:47:34.211 CEST
mqtt,arrival:targeted_vehicle_010|targeted_vehicle_011:69.1:HIGH,69.1,HIGH,targeted_vehicle_010,targeted_vehicle_011,2312.882278333,2026-07-06T13:47:49.318613+00:00,15:47:49.318 CEST
mqtt,arrival:targeted_vehicle_012|targeted_vehicle_013:81.8:HIGH,81.8,HIGH,targeted_vehicle_012,targeted_vehicle_013,2325.581909875,2026-07-06T13:48:02.017968+00:00,15:48:02.017 CEST
mqtt,arrival:targeted_vehicle_015|targeted_vehicle_016:97.6:HIGH,97.6,HIGH,targeted_vehicle_015,targeted_vehicle_016,2341.422872291,2026-07-06T13:48:17.858581+00:00,15:48:17.858 CEST
mqtt,arrival:targeted_vehicle_017|targeted_vehicle_019:111.2:LOW,111.2,LOW,targeted_vehicle_017,targeted_vehicle_019,2355.104478583,2026-07-06T13:48:31.539884+00:00,15:48:31.539 CEST
mqtt,arrival:targeted_vehicle_018|targeted_vehicle_019:111.4:HIGH,111.4,HIGH,targeted_vehicle_018,targeted_vehicle_019,2355.177772708,2026-07-06T13:48:31.613176+00:00,15:48:31.613 CEST
mqtt,arrival:targeted_vehicle_017|targeted_vehicle_018:111.4:LOW,111.4,LOW,targeted_vehicle_017,targeted_vehicle_018,2355.177892166,2026-07-06T13:48:31.613296+00:00,15:48:31.613 CEST
mqtt,arrival:targeted_vehicle_017|targeted_vehicle_019:111.7:HIGH,111.7,HIGH,targeted_vehicle_017,targeted_vehicle_019,2355.486167666,2026-07-06T13:48:31.921564+00:00,15:48:31.921 CEST
mqtt,arrival:targeted_vehicle_021|targeted_vehicle_022:125.7:HIGH,125.7,HIGH,targeted_vehicle_021,targeted_vehicle_022,2369.481818041,2026-07-06T13:48:45.916903+00:00,15:48:45.916 CEST
mqtt,arrival:targeted_vehicle_023|targeted_vehicle_024:139.4:HIGH,139.4,HIGH,targeted_vehicle_023,targeted_vehicle_024,2383.181106208,2026-07-06T13:48:59.615886+00:00,15:48:59.615 CEST
mqtt,arrival:targeted_vehicle_026|targeted_vehicle_027:152.4:HIGH,152.4,HIGH,targeted_vehicle_026,targeted_vehicle_027,2396.182640916,2026-07-06T13:49:12.617131+00:00,15:49:12.617 CEST
mqtt,arrival:targeted_vehicle_028|targeted_vehicle_029:166.5:HIGH,166.5,HIGH,targeted_vehicle_028,targeted_vehicle_029,2410.280042625,2026-07-06T13:49:26.714219+00:00,15:49:26.714 CEST
mqtt,arrival:targeted_vehicle_031|targeted_vehicle_032:181.9:HIGH,181.9,HIGH,targeted_vehicle_031,targeted_vehicle_032,2425.798406458,2026-07-06T13:49:42.232237+00:00,15:49:42.232 CEST
mqtt,arrival:targeted_vehicle_033|targeted_vehicle_034:195.4:HIGH,195.4,HIGH,targeted_vehicle_033,targeted_vehicle_034,2439.178334083,2026-07-06T13:49:55.611866+00:00,15:49:55.611 CEST
mqtt,arrival:targeted_vehicle_035|targeted_vehicle_036:206.8:LOW,206.8,LOW,targeted_vehicle_035,targeted_vehicle_036,2450.582606625,2026-07-06T13:50:07.015884+00:00,15:50:07.015 CEST
