simulation_time,risk_level,vehicle_1,vehicle_2,action,priority_vehicle_id,yielding_vehicle_id,reservation_queue,conflict_group_vehicle_ids,predicted_arrival_time_s,conflict_zone_vehicle_ids,target_speed_mps,release_reason,note
41.60,HIGH,targeted_vehicle_004,targeted_vehicle_005,RELEASE_NEXT_VEHICLE,targeted_vehicle_005,targeted_vehicle_005,targeted_vehicle_005;targeted_vehicle_004,targeted_vehicle_004;targeted_vehicle_005,44.50,,,fcfs_priority_assigned,Released priority vehicle matching earliest expected arrival time.
41.60,HIGH,targeted_vehicle_004,targeted_vehicle_005,SLOW_NEAR_ENTRY,targeted_vehicle_005,targeted_vehicle_004,targeted_vehicle_005;targeted_vehicle_004,targeted_vehicle_004;targeted_vehicle_005,44.60,,2.00,reserved_priority_approaching,Vehicle held at stop line for target-junction reservation: smooth_deceleration_to_entry entry_distance_m=33.9 remaining_to_hold_m=21.4 speed_mps=13.89 target_speed_mps=2.00 decel_mps2=5.00 duration_s=2.38.
42.60,HIGH,targeted_vehicle_004,targeted_vehicle_005,SLOW_NEAR_ENTRY,targeted_vehicle_005,targeted_vehicle_004,targeted_vehicle_005;targeted_vehicle_004,targeted_vehicle_004;targeted_vehicle_005,44.60,,2.00,reserved_priority_approaching,Vehicle held at stop line for target-junction reservation: smooth_deceleration_to_entry entry_distance_m=22.7 remaining_to_hold_m=10.2 speed_mps=9.13 target_speed_mps=2.00 decel_mps2=5.00 duration_s=1.43.
43.60,HIGH,targeted_vehicle_004,targeted_vehicle_005,SLOW_NEAR_ENTRY,targeted_vehicle_005,targeted_vehicle_004,targeted_vehicle_005;targeted_vehicle_004,targeted_vehicle_004;targeted_vehicle_005,44.60,targeted_vehicle_005,2.00,conflict_zone_occupied,Vehicle held at stop line for target-junction reservation: smooth_deceleration_to_entry entry_distance_m=16.1 remaining_to_hold_m=3.6 speed_mps=4.58 target_speed_mps=2.00 decel_mps2=5.00 duration_s=0.52.
44.60,HIGH,targeted_vehicle_004,targeted_vehicle_005,WAIT_AT_STOP_ZONE,targeted_vehicle_005,targeted_vehicle_004,targeted_vehicle_005;targeted_vehicle_004,targeted_vehicle_004;targeted_vehicle_005,44.60,targeted_vehicle_005,,conflict_zone_occupied,Vehicle held at stop line for target-junction reservation: smooth_profile_no_brake entry_distance_m=13.2 remaining_to_hold_m=0.7 speed_mps=2.19 profile_speed_mps=2.00.
44.80,HIGH,targeted_vehicle_004,targeted_vehicle_005,SLOW_NEAR_ENTRY,targeted_vehicle_005,targeted_vehicle_004,targeted_vehicle_005;targeted_vehicle_004,targeted_vehicle_004;targeted_vehicle_005,44.60,targeted_vehicle_005,1.60,conflict_zone_occupied,Vehicle held at stop line for target-junction reservation: smooth_deceleration_to_entry entry_distance_m=12.8 remaining_to_hold_m=0.3 speed_mps=2.06 target_speed_mps=1.60 decel_mps2=5.00 duration_s=0.40.
45.30,HIGH,targeted_vehicle_004,targeted_vehicle_005,RELEASE_NEXT_VEHICLE,targeted_vehicle_005,targeted_vehicle_005,targeted_vehicle_005,targeted_vehicle_004,,,,priority_cleared_clear_zone,Priority vehicle cleared the target conflict/clear zone.
45.30,HIGH,targeted_vehicle_004,targeted_vehicle_005,RELEASE_NEXT_VEHICLE,targeted_vehicle_004,targeted_vehicle_004,targeted_vehicle_004,targeted_vehicle_004,44.60,,,fcfs_priority_assigned,Released priority vehicle matching earliest expected arrival time.
45.40,HIGH,targeted_vehicle_004,targeted_vehicle_005,RELEASE_NEXT_VEHICLE,targeted_vehicle_004,targeted_vehicle_004,targeted_vehicle_004,targeted_vehicle_004,44.60,,,priority_cleared_clear_zone,Priority vehicle cleared the target conflict/clear zone.
45.40,HIGH,targeted_vehicle_004,targeted_vehicle_005,RELEASE_NEXT_VEHICLE,targeted_vehicle_004,targeted_vehicle_004,targeted_vehicle_004,targeted_vehicle_004,44.60,,,fcfs_priority_assigned,Released priority vehicle matching earliest expected arrival time.
